source_platform,source_platform_url,data.id,data.caption.text,data.caption.created_at,data.media_type,data.like_count,data.comment_count,sentiment_rulebased
instagram.com,https://www.instagram.com/juso_schweiz/,3719449960736360792_8730398694,"OFFENER BRIEF: KEINE BÜHNE FÜR TÄTER. KEIN AUFTRITT VON MARILYN MANSON IN DER STADT BERN. Marilyn Manson ist ein international bekannter Musiker, gegen den mehrere Frauen gravierende Vorwürfe erhoben haben: sexueller und psychischer Missbrauch, Nötigung, Körperverletzung, Menschenhandel. Wegen Verjährung und «aufgrund von Mangel an Beweisen» wurde Manson freigesprochen. Verjährung macht Taten nicht ungeschehen, und dass die Aussagen zahlreicher Frauen auch im Jahre 2025 vor Gericht noch als «Mangel an Beweisen» gewertet werden, ist bezeichnend für den aufgeflammten antifeministischen Backlash. Er zeigt sich gerade in der Schweiz in voller Wucht in Form von unerträglich vielen Femiziden: alle 10 Tage wird in der Schweiz eine Frau getötet, weil sie eine Frau ist. Die Bundesstadt steht für eine radikale Null-Toleranz gegenüber jeglicher Gewalt. Wir übernehmen unsere Verantwortung und glauben den Opfern. Gewalttätiges Verhalten muss adäquate Konsequenzen haben. Wir verlangen von BERNEXPO sowie von der Veranstalterin Good News Productions AG, dass sie das Konzert absagen sowie ihre Booking-Prozesse anpassen, damit künftig keine Gewalttäter mehr auf Berns Bühnen stehen. Gewalt ist keine Privatsache, und die Sicherheit Aller ist ein zentraler Bestandteil der Lebensqualität in unserer Stadt. Des Weiteren erwarten wir auch von der Stadt Bern, dass sie sich auf politischer Ebene ebenfalls dafür einsetzt, dass Manson sowie weiteren Tätern keine Bühne geboten wird. Hier kannst Du den offenen Brief unterzeichnen:  openpetition.eu/!cdzgt",2025-09-11 17:50:11+00:00,8,713,9,-1.0
instagram.com,https://www.instagram.com/juso_schweiz/,3718653511773237410_2944886569,Alle raus zum Klimastreik!!! Am Samstag um 16:00 Uhr beim Waisenhausplatz in Bern✊🌹 TAX THE RICH SAVE THE CLIMATE! @klimastreikbern  @klimastreikschweiz,2025-09-10 15:28:07+00:00,2,514,6,0.0
instagram.com,https://www.instagram.com/juso_schweiz/,3718370487429009731_2944886569,10. September: BLOQUONS TOUT!,2025-09-10 06:06:18+00:00,2,204,4,0.0
instagram.com,https://www.instagram.com/juso_schweiz/,3717909551992595825_2944886569,"IFEZ AM KLIMASTREIK 📅 13. September, 16:00 Uhr 📍 Waisenhausplatz Am Samstag findet in Bern der nächste Klimastreik statt. Wir werden mit einem IfeZ-Block dabei sein - je mehr JUSOs, desto sichtbarer sind wir. Komm mit uns auf die Strasse! Melde dich bei uns, wenn du nicht alleine gehen willst!",2025-09-09 14:49:39+00:00,1,204,2,0.23
instagram.com,https://www.instagram.com/juso_schweiz/,3717637041761855436_2944886569,"DELEGIERTENVERSAMMLUNG IN BADEN Am Sonntag haben wir uns zur Delegiertenversammlung in Baden getroffen. Diskutiert wurde ein Papier zu Vermögensungleichheit und verschiedene Resolutionen. Die Welt ist in Aufruhr, auf die Krisen des Kapitalismus gibt es nur eine Antwort: Sozialismus! Techoligarchen gehören enteignet, die Pharmabosse für ihre Verbrechen bestraft und die Kriegsmaterialproduktion verboten! Foto: @meo.w161",2025-09-09 05:50:32+00:00,1,1206,22,-1.0
instagram.com,https://www.instagram.com/juso_schweiz/,3717254683942510413_2944886569,"Raus mit Bayrou!  Wir wollen dich nicht mehr, deine Budgetkürzungen, deine umweltzerstörende Politik und deine Unterstützung für Pädokriminalität. Auch in der Schweiz kämpfen wir gegen die schändliche bürgerliche Rechte!",2025-09-08 17:08:32+00:00,8,166,0,-0.88
instagram.com,https://www.instagram.com/juso_schweiz/,3714842923775852741_46564761026,"10‘000 Franken sind bereits fürs Crowdfunding für eine Zukunft zusammengekommen. Danke, danke, danke ❤️ 👉Jetzt müssen wir aber nochmal vorwärtsmachen. Also bitte: Teilt das Crowdfunding, Redet mit euren Verwandten, Freunden, Kolleg*innen. Und natürlich freuen wir uns über jede weitere Spende doppelt und dreifach. Merci ❤️ #initiativefüreinezukunft #crowdfunding #fundraisersilas",2025-09-05 09:26:42+00:00,2,203,7,0.81
instagram.com,https://www.instagram.com/juso_schweiz/,3714309888043422002_2944886569,"KEINE STEUERPRIVILEGIEN FÜR REICHE! Die Bürgerlichen wollen den Eigenmietwert abschaffen. Fakt ist: diese Steuererleichterung würde fast nur reichen Menschen zugutekommen. Der Grossteil der Schweizer Bevölkerung besitzt keine Häuser und während Mietende illegal hohe Mieten bezahlen, sollen jetzt die Eigentümer*innen zusätzlich entlastet werden.  NEIN zum Eigenmietwert, die Reichen können sich diese Steuer leisten.",2025-09-04 15:37:45+00:00,8,233,2,0.02
instagram.com,https://www.instagram.com/juso_schweiz/,3712143390524571796_46564761026,"🔥Dieses Wochenende haben in der ganzen Schweiz Aktionen zur Initiative für eine Zukunft stattgefunden. Ohne die Sektionen, die Vorstände und die Mitglieder läuft in dieser Kampagne nichts. Danke, danke, danke für all eure Arbeit 🙏  💚Du willst auf dem Laufenden bleiben, was in deiner Stadt zur Initiative für eine Zukunft läuft (und darüber hinaus)?  👉Folge jetzt der JUSO-Sektion in deiner Nähe  #initiativefüreinezukunft",2025-09-01 16:04:29+00:00,2,425,25,0.38
instagram.com,https://www.instagram.com/juso_schweiz/,3712016982314067948_18558857142,"Der Bund will die Studiengebühren in der ganzen Schweiz verdoppeln. Wir wehren uns dagegen, denn Bildung darf kein Luxus sein. Komm mit uns auf die Strasse! 1. Oktober, 17:00 Bundesplatz Bern *** La Confédération veut doubler les taxes d'études dans toute la Suisse. Nous nous y opposons, car la formation ne doit pas être un luxe. Viens avec nous dans la rue ! 1er octobre, 17:00 Place fédérale Berne #bildungspolitik #tuitionfees #schliifts #rally #protest #chancengleichheit",2025-09-01 11:53:36+00:00,2,458,20,-0.35
