source_platform,source_platform_url,data.id,data.caption.text,data.caption.created_at,data.media_type,data.like_count,data.comment_count,data.ig_play_count,sentiment_rulebased,voting.topic
instagram.com,https://www.instagram.com/p/DHtRzk9h_SO/,3596885192608283229_1491469054,Nationalrat Alfred Heer spricht Klartext: «Als neutrales und unabhängiges Land müssen wir uns selbst verteidigen können. Deshalb müssen wir in unsere Armee investieren. Die SVP hat sich stets für eine starke Schweizer Armee eingesetzt.»,2025-03-26 15:16:40+00:00,2,613,36,15368.0,0.02,1
instagram.com,https://www.instagram.com/p/DHwJ3NBqvZJ/,3597609988509922446_1491469054,Ramadan statt Aschermittwoch - Bundesrat Jans hofiert Muslimverbände | Schauen Sie sich jetzt den Videocast 📺 - Dütsch. Dütlich. DETTLING! - an. 👉🏻 svp.ch/ddd,2025-03-27 15:16:41+00:00,2,566,37,22147.0,0.0,0
instagram.com,https://www.instagram.com/p/DH29jJgKG6M/,3599048240846812080_1491469054,"(Link in Bio) Die innere und äussere Sicherheit der Schweiz ist bedroht. Die Delegierten der SVP Schweiz fordern an ihrer Versammlung in Puidoux (VD) Grenzkontrollen, die sofortige Ausschaffung krimineller Ausländer und eine starke Armee im Zeichen der bewaffneten Neutralität.",2025-03-29 14:53:34+00:00,1,395,14,,-0.8,0
instagram.com,https://www.instagram.com/p/DH29jJgKG6M/,3598419478245471817_1491469054,(Link in der Bio) In Lausanne tagte der Parteivorstand der SVP Schweiz. Die kantonalen Vertreter schlagen Alarm wegen des Asyl-Chaos und der explodierenden Kriminalität.,2025-03-28 18:04:21+00:00,1,414,18,,-0.04,0
instagram.com,https://www.instagram.com/p/DH3lVPxKmoV/?img_index=1,3598335033040706509_1491469054,"Nationalrat Alfred Heer bring es auf den Punkt: «Die Schweiz muss für sich selbst schauen. Wir müssen neutral bleiben, wir sind auch nicht Mitglied der Europäischen Union und wir sollten auch nicht in die NATO. Der beste Schutz ist, glaube ich, die Neutralität.»",2025-03-28 15:17:41+00:00,2,439,18,10842.0,0.38,0
instagram.com,https://www.instagram.com/p/DH3lVPxKmoV/?img_index=1,3600335648351350412_37209571767,"Schweiz wohin? 🇨🇭  Öffentlicher Anlass mit Nationalrat und Parteipräsident Marcel Dettling.  🗓️ Freitag, 25. April 2025 📍 Restaurant Hirschen, Bünzen - Gaststube  🕑 19.30 Uhr Türöffnung | 20.00 Uhr Beginn Wir freuen uns auf Euch!",2025-03-31 09:31:18+00:00,1,308,7,,0.22,0
instagram.com,https://www.instagram.com/p/DH5kcvIK4jr/,3600510614866913813_1491469054,"(Link in Bio) Raubüberfälle, Vergewaltigungen, Messerstechereien und Einbrüche sind an der Tagesordnung. Insbesondere kriminelle Asyl-Migranten verüben teils schwerste Gewalttaten. Das herrschende Asyl-Chaos gefährdet die innere Sicherheit der Schweiz und kostet die Steuerzahler Milliarden. Statt die Grenzen zu kontrollieren, verweigert der verantwortliche SP-Bundesrat Jans griffige Massnahmen zum Schutz der eigenen Bevölkerung. Unterschreiben Sie deshalb jetzt die Volksinitiative «Asylmissbrauch stoppen! Grenzschutz-Initiative»!",2025-03-31 15:19:03+00:00,8,598,55,,-1.0,0
instagram.com,https://www.instagram.com/p/DH5kcvIK4jr/,3601069681482107115_1491469054,"(Link in Bio) Die EU will 60-Tonnen-Lastwagen in ganz Europa zulassen. Wenn die Schweiz dem EU-Unterwerfungsvertrag zustimmt, werden die Gigaliner auch zu uns kommen.",2025-04-01 09:49:51+00:00,1,710,33,,0.0,0
instagram.com,https://www.instagram.com/svpch/,3741107890615993039_1491469054,"(Link in Bio) Die masslose Zuwanderung führt dazu, dass die Schweiz aus allen Nähten platzt. Überfüllter ÖV, zehntausende Staustunden auf den Strassen, überfüllte Schulen, Spitäler und Pflegeheime. Die Liste liesse sich beliebig verlängern. Diese Entwicklung muss endlich gestoppt werden. Unterstütze deshalb die Nachhaltigkeitsinitiative!",2025-10-11 15:01:36+00:00,2,1277,72,,0.01,0
instagram.com,https://www.instagram.com/svpch/,3739641199557758536_1491469054,"Skandal-Vertrag: EU-Beamte in der Schweiz müssen keine Steuern bezahlen und sich nicht vor Gericht verantworten (Immunität)! Wer keine Sonder-Privilegien für EU-Beamte will, sagt Nein zum EU-Unterwerfungsvertrag. ❌",2025-10-09 14:26:36+00:00,1,1234,76,,0.0,0
instagram.com,https://www.instagram.com/svpch/,3739546763117095866_1491469054,"(Link in Bio) Wir stehen heute hier mit Zehntausenden von Unterschriften. Unterschriften von Bürgerinnen und Bürgern, die NEIN sagen. NEIN zu einem ideologischen Experiment auf dem Buckel unserer Familien und unseres bewährten Staatssystems. Die Individualbesteuerung ist kein Fortschritt, sie ist ein Angriff auf den Mittelstand und ein Angriff auf die Schweiz, wie wir sie kennen und lieben.",2025-10-09 11:19:06+00:00,1,251,9,,0.16,0
